ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Speaker_Area,Glottolog_Languoid_Level,Family,Contribution_IDs
abad1241,Abadi,,-9.03389,146.992,abad1241,,languages,language,Austronesian,2235 L005 L008 L009
abag1245,Abaga,,-6.12028,145.665,abag1245,,languages,language,Nuclear Trans New Guinea,2834 L005 L007 L008
abai1240,Abai Sungai,,5.55394,118.306,abai1240,,languages,language,Austronesian,1582 L031 L041
abau1245,Abau,,-3.97222,141.324,abau1245,,languages,language,Sepik,3780 L001 L004 L005 L006 L018
abui1241,Abui,,-8.31058,124.588,abui1241,,languages,language,Timor-Alor-Pantar,998 L040b
abun1252,Abun,,-0.57073,132.416,abun1252,,languages,language,,1791 1792 L001 L002 L018
abuu1241,Abu,,-4.24027,144.474,abuu1241,,languages,language,Ramu,2951 2955 L005 L006 L007 L018
achi1257,Acehnese,,3.90757,96.6032,achi1257,,languages,language,Austronesian,881 L038
adab1235,Adabe,,-8.22674,125.576,adab1235,,languages,language,Bookkeeping,709 L040b
adas1235,Adasen,,17.8187,120.905,adas1235,,languages,language,Austronesian,89 L031 L032
adny1235,Adnyamathanha,,-30.1451,138.671,adny1235,,languages,language,Pama-Nyungan,3475 L021 L022
adon1237,Adonara,,-8.32027,123.159,adon1237,,languages,language,Austronesian,710 L040a L040b
adze1240,Adzera,,-6.39394,146.294,adze1240,,languages,language,Austronesian,2756 2757 2758 2759 2761 2762 2800 2801 L005 L007 L008
aeka1244,Aeka,,-8.855095,147.99477,aeka1244,,languages,language,Nuclear Trans New Guinea,2699 L005 L008 L009
aeky1238,Aekyom,,-5.88478,141.532,aeky1238,,languages,language,Kamula-Elevala,2191 2193 2194 2195 L001 L004 L005 L011
agar1252,Agarabi,,-6.20604,145.917,agar1252,,languages,language,Nuclear Trans New Guinea,3516 L005 L007 L008
aghu1255,Aghu,,-6.34674,140.043,aghu1255,,languages,language,Nuclear Trans New Guinea,2010 L001 L004 L005
agii1245,Agi,,-3.49104,142.387,agii1245,,languages,language,Nuclear Torricelli,3570 L005 L006 L018
agob1244,Agob-Ende-Kawam,,-9.08521,142.532,agob1244,,languages,language,Pahoturi,2141 L005 L012
agus1235,Agusan Manobo,,8.62731,125.742,agus1235,,languages,language,Austronesian,149 L031 L034
aheu1239,Thavung,,17.7655,104.229,aheu1239,,languages,language,Austroasiatic,609 L035
aigh1235,Aighon,,-5.99488,150.272,aigh1235,,languages,language,Austronesian,3693 3696 L005 L013
aime1238,Aimele,,-6.68656,142.656,aime1238,,languages,language,Bosavi,2216 L005 L011 L012
aiom1240,Aiome,,-5.13467,144.765,aiom1240,,languages,language,Ramu,2914 L005 L006 L007
airo1242,Airoran,,-1.8522,138.158,airo1242,,languages,language,Greater Kwerba,3108 L001 L003 L018
ajie1238,Ajië,,-21.3029,165.468,ajie1238,,languages,language,Austronesian,4268 L017 L019a
akei1237,Akei,,-15.6377,166.767,akei1237,,languages,language,Austronesian,4088 L016a L016b L019a
akha1245,Akha,,21.2309,100.964,akha1245,,languages,language,Sino-Tibetan,363 395 427 633 L035
akkk1240,Ak,,-3.57026,141.784,akkk1240,,languages,language,Sepik,3032 L001 L005 L006 L018
akla1240,Aklanon,,11.55432,122.35413,akla1240,,languages,language,Austronesian,175 L031 L033
akoy1238,Akoye,,-7.66067,145.669,akoy1238,,languages,language,Angan,2727 L005 L008
akru1241,Chini,,-4.88687,144.821,akru1241,,languages,language,Ramu,2907 L005 L006 L007
alak1253,Alak,,15.5565,106.597,alak1253,,languages,language,Austroasiatic,264 L035
alam1246,Alamblak,,-4.66307,143.316,alam1246,,languages,language,Sepik,2297 2963 L005 L006 L011 L018
alan1249,Alangan,,13.0982,121.022,alan1249,,languages,language,Austronesian,173 L031 L033
alaw1244,Alawa,,-15.5458,134.282,alaw1244,,languages,language,Mangarrayi-Maran,3281 L022 L023
alba1269,Inland-Buhi-Daraga Bikol,,13.1989,123.49,alba1269,,languages,language,Austronesian,230 L031 L033
alor1247,Alorese,,-8.20382,124.264,alor1247,,languages,language,Austronesian,732 1003 L040b
alun1238,Alune,,-3.11477,128.394,alun1238,,languages,language,Austronesian,3990 3992 4009 L045b
alya1239,Alyawarr,,-21.0427,136.835,alya1239,,languages,language,Pama-Nyungan,3468 L022
amah1245,Amahai,,-3.32028,128.939,amah1245,,languages,language,Austronesian,3983 L045b
amai1246,Amaimon,,-5.18742,145.368,amai1246,,languages,language,Nuclear Trans New Guinea,3519 L005 L007
amal1242,Amal,,-4.04517,141.995,amal1242,,languages,language,Sepik,3030 L001 L005 L006 L018
aman1265,Amanab,,-3.51516,141.178,aman1265,,languages,language,Border,2181 3584 L001 L004 L005 L006 L018
amap1240,Ama (Papua New Guinea),,-4.20192,141.658,amap1240,,languages,language,Left May,3052 L001 L005 L006 L018
amar1272,Amara,,-5.55778,148.68,amar1272,,languages,language,Austronesian,3646 L005 L007 L013
amba1269,Ambakich,,-4.23181,144.285,amba1269,,languages,language,Keram,2952 L005 L006 L007 L018
ambl1237,Amblong,,-15.5169,166.95,ambl1237,,languages,language,Austronesian,4100 L016a L016b L019a
ambo1250,Ambonese Malay,,-3.71342,128.184,ambo1250,,languages,language,Austronesian,3988 4024 4026 L045b
ambu1247,Ambulas,,-3.7801,143.059,ambu1247,,languages,language,Ndu,2978 2979 2982 L005 L006 L018
amel1241,Amele,,-5.29126,145.687,amel1241,,languages,language,Nuclear Trans New Guinea,2895 L005 L007
amis1246,Amis,,23.0917,121.348,amis1246,,languages,language,Austronesian,35 36 37 52 L030
amol1235,Mol,,-3.46843,142.532,amol1235,,languages,language,Nuclear Torricelli,3009 L005 L006 L018
ampa1239,Ampanang,,-0.79259,116.349,ampa1239,,languages,language,Austronesian,1635 L042
amto1250,Amto,,-4.12165,141.339,amto1250,,languages,language,Amto-Musan,3050 L001 L005 L006 L018
anak1240,Anakalangu,,-9.63425,119.605,anak1240,,languages,language,Austronesian,785 L040a
anam1247,Anam,,-4.68869,145.051,anam1247,,languages,language,Nuclear Trans New Guinea,2937 L005 L006 L007 L018
anam1248,Anamuxra,,-4.63762,144.991,anam1248,,languages,language,Nuclear Trans New Guinea,3525 L005 L006 L007 L018
anda1284,Andarum,,-4.48734,144.767,anda1284,,languages,language,Ramu,2336 L005 L006 L007 L018
ande1247,Andegerebinha,,-22.51278,137.3515,ande1247,,languages,language,Pama-Nyungan,3406 3408 L022
anei1239,Aneityum,,-20.1864,169.825,anei1239,,languages,language,Austronesian,2065 L016a L019a
anem1248,Aneme Wake,,-9.75911,148.479,anem1248,,languages,language,Yareban,2569 2570 2571 2572 2573 2574 L005 L009
anem1249,Anem,,-5.54836,148.993,anem1249,,languages,language,,3649 L005 L013
anga1290,Angaataha,,-7.15012,146.352,anga1290,,languages,language,Angan,2737 L005 L008
anga1292,Angal Heneng,,-6.13347,143.478,anga1292,,languages,language,Nuclear Trans New Guinea,3215 3220 3221 L005 L011
anga1293,Angal,,-6.0127,143.592,anga1293,,languages,language,Nuclear Trans New Guinea,3217 L005 L011
anga1294,Angal Enen,,-6.23296,143.583,anga1294,,languages,language,Nuclear Trans New Guinea,3223 3224 L005 L011
angg1239,Angguruk Yali,,-4.0836,139.457,angg1239,,languages,language,Nuclear Trans New Guinea,1882 L001 L004 L018
ango1254,Angor,,-3.7167,141.199,ango1254,,languages,language,Senagi,2144 L001 L004 L005 L006 L018
ango1255,Angoram,,-4.07758,144.028,ango1255,,languages,language,Lower Sepik,2961 L005 L006 L007 L018
anja1238,Anjam,,-5.45899,145.717,anja1238,,languages,language,Nuclear Trans New Guinea,2355 L005 L007
anka1246,Ankave,,-7.19444,145.754,anka1246,,languages,language,Angan,2242 L005 L008
anma1239,Anmatyerre,,-22.2853,133.286,anma1239,,languages,language,Pama-Nyungan,3465 L022
anor1241,Anor,,-4.98449,144.801,anor1241,,languages,language,Ramu,2915 L005 L006 L007
anuk1239,Anuki,,-9.6692,149.822,anuk1239,,languages,language,Austronesian,2587 L005 L009
anut1237,Anuta,,-11.61,169.85,anut1237,,languages,language,Austronesian,4287 L019a
aohe1237,Aoheng-Seputan,,0.87404,114.127,aohe1237,,languages,language,Austronesian,1626 1627 L041 L042
aore1237,Aore,,-15.5753,167.166,aore1237,,languages,language,Austronesian,4105 L016a L016b L019a
apal1256,Apali,,-5.1727,145.023,apal1256,,languages,language,Nuclear Trans New Guinea,2909 L005 L006 L007
apma1240,Apma,,-15.8559,168.189,apma1240,,languages,language,Austronesian,4157 L016a L016b L019a
apma1241,Ap Ma,,-4.35147,144.085,apma1241,,languages,language,Keram,2282 L005 L006 L007 L018
aput1237,Aputai,,-7.84732,126.496,aput1237,,languages,language,Austronesian,702 L040b
arak1252,Araki,,-15.632997,166.952542,arak1252,,languages,language,Austronesian,4106 L016a L016b L019a
aran1237,Dombano,,-2.08016,132.983,aran1237,,languages,language,South Bird's Head Family,1767 L001 L002 L018
araw1272,Arawum,,-5.52787,145.903,araw1272,,languages,language,Nuclear Trans New Guinea,2361 L005 L007
area1240,'Are'are,,-9.20699,161.158,area1240,,languages,language,Austronesian,3943 3949 L015 L019a
aree1239,Are,,-9.67147,149.999,aree1239,,languages,language,Austronesian,2588 L005 L009
arem1240,Arem,,17.7672,105.928,arem1240,,languages,language,Austroasiatic,608 L035
arha1237,Arhâ,,-21.2866,165.273,arha1237,,languages,language,Austronesian,4266 L017 L019a
arho1237,Arhö,,-21.3183,165.161,arho1237,,languages,language,Austronesian,4265 L017 L019a
arib1240,Aribwaung,,-6.65252,146.919,arib1240,,languages,language,Austronesian,2450 L005 L007 L008
arib1241,Aribwatsa,,-6.72266,146.991,arib1241,,languages,language,Austronesian,2482 L005 L007 L008
arif1239,Arifama-Miniafia,,-9.15565,149.246,arif1239,,languages,language,Austronesian,2585 2599 2603 L005 L008 L009
arii1243,Ari,,-7.95526,142.4,arii1243,,languages,language,Suki-Gogodala,2129 L005 L012
arop1243,Arop-Lokep,,-5.31671,147.103,arop1243,,languages,language,Austronesian,2071 2400 3797 L005 L007
aros1241,Arosi,,-10.2441,161.432,aros1241,,languages,language,Austronesian,3955 L015 L019a
arua1260,Aruamu,,-4.28957,144.842,arua1260,,languages,language,Ramu,2330 L005 L006 L007 L018
arue1240,Aruek,,-3.37841,142.715,arue1240,,languages,language,Nuclear Torricelli,2162 L005 L006 L018
aruo1240,Srenge,,-3.45782,142.478,aruo1240,,languages,language,Nuclear Torricelli,3572 L005 L006 L018
asar1240,Asaro'o,,-5.68263,146.508,asar1240,,languages,language,Nuclear Trans New Guinea,2414 L005 L007
asil1242,Asilulu,,-3.67302,127.952,asil1242,,languages,language,Austronesian,4412 L045b
asko1238,Askopan,,-6.22539,155.307,asko1238,,languages,language,North Bougainville,3896 L005 L015 L019a
asue1235,Asue Awyu,,-5.98341,139.123,asue1235,,languages,language,Nuclear Trans New Guinea,1992 1993 1998 1999 2000 L001 L004
