ID,Name,Country,Sovereigns,Islands
1,BE,China,China,
3,CHINESE,China,China,
16,LARDIL,China,China,
22,LI,China,China,
24,CHAM,China,China,
25,YAO,China,China,
30,CHINESE,Taiwan,Taiwan,
31,BASAY?_Linaw-Qauqaul,Taiwan,Taiwan,
32,BASAY_Trobiawan,Taiwan,Taiwan,
33,KAVALAN,Taiwan,Taiwan,
34,BASAY,Taiwan,Taiwan,
35,AMI_Central,Taiwan,Taiwan,
36,AMI_Tayalong-Vataan,Taiwan,Taiwan,
37,AMI_Northern,Taiwan,Taiwan,
38,AMI_Sakizaya,Taiwan,Taiwan,
39,THAO,Taiwan,Taiwan,
40,BUNUN_Northern,Taiwan,Taiwan,
41,ATAYAL_Ts'ole',Taiwan,Taiwan,
42,ATAYAL_SEDEQ,Taiwan,Taiwan,
44,ATAYAL_Ts'ole' and Sqoleq,Taiwan,Taiwan,
47,SAISIYAT_Southern,Taiwan,Taiwan,
48,SAISIYAT_Northern,Taiwan,Taiwan,
49,PAPORA,Taiwan,Taiwan,
50,HOANYA,Taiwan,Taiwan,
51,BUNUN_Takopulan,Taiwan,Taiwan,
52,AMI_Southern,Taiwan,Taiwan,
53,TSOU_Duhtu,Taiwan,Taiwan,
54,TSOU_Tfuea,Taiwan,Taiwan,
55,TSOU_Tapangu,Taiwan,Taiwan,
57,ATAYAL,Taiwan,Taiwan,
59,?,Taiwan,Taiwan,
60,KETANGALAN,Taiwan,Taiwan,
61,KULUN,Taiwan,Taiwan,
62,TAOKAS,Taiwan,Taiwan,
63,BABUZA,Taiwan,Taiwan,
64,PAZEH,Taiwan,Taiwan,
65,SIRAYA_Taivoan,Taiwan,Taiwan,
66,SIRAYAY_Siraya,Taiwan,Taiwan,
67,RUKAI_Rukai,Taiwan,Taiwan,
68,RUKAI_Three Villages,Taiwan,Taiwan,
69,BUNUN_Central,Taiwan,Taiwan,
70,BUNUN_Southern,Taiwan,Taiwan,
73,PUYUMA_Nanwang,Taiwan,Taiwan,
74,PUYUMA,Taiwan,Taiwan,
77,PAIWAN,Taiwan,Taiwan,
78,TAGALOG,Philippines,Philippines,
80,KAPAMPANGAN,Philippines,Philippines,
81,TINA SAMBAL,Philippines,Philippines,
82,PANGASINAN,Philippines,Philippines,
83,ILONGOT,Philippines,Philippines,
84,KASIGURANIN,Philippines,Philippines,
85,CASIGURAN DUMAGAT,Philippines,Philippines,
86,AGTA,Philippines,Philippines,
88,ISNAG,Philippines,Philippines,
89,ADASEN,Philippines,Philippines,
90,MALAWEG,Philippines,Philippines,
91,GADDANG,Philippines,Philippines,
92,ITNEG,Philippines,Philippines,
94,KALINGA,Philippines,Philippines,
95,KANKANAEY_South,Philippines,Philippines,
96,IFUGAO,Philippines,Philippines,
97,GA-DANG,Philippines,Philippines,
98,BONTOK,Philippines,Philippines,
99,BALANGAW,Philippines,Philippines,
100,KARAW,Philippines,Philippines,
101,KALLAHAN,Philippines,Philippines,
102,INIBALOI,Philippines,Philippines,
104,ISINAI,Philippines,Philippines,
106,IBANAG,Philippines,Philippines,
107,ITAWIS,Philippines,Philippines,
108,KANKANAEY_North,Philippines,Philippines,
109,ILOKANO,Philippines,Philippines,
110,BOTOLAN,Philippines,Philippines,
112,STANDARD BIKOL,Philippines,Philippines,
114,NORTHERN CATANDUANES BIKOL,Philippines,Philippines,
115,KAMAYO,Philippines,Philippines,
116,RAJAH,Philippines,Philippines,
117,DAVAWENO1,Philippines,Philippines,
118,SARANGANI MANOBO,Philippines,Philippines,
119,MANDAYA,Philippines,Philippines,
120,BLAAN,Philippines,Philippines,
121,TAGAKAULU,Philippines,Philippines,
124,TBOLI,Philippines,Philippines,
125,COTABATO MANOBO,Philippines,Philippines,
127,CHAVACANO,Philippines,Philippines,
128,KALAGAN,Philippines,Philippines,
130,KALIBUGAN,Philippines,Philippines,
131,SUBANUN,Philippines,Philippines,
132,MARANAO,Philippines,Philippines,
134,TAGABAWA,Philippines,Philippines,
135,BAGOBO,Philippines,Philippines,
138,HILIGAYNON(ILONGGO),Philippines,Philippines,
139,CEBUANO,Philippines,Philippines,
140,MAGINDANAO,Philippines,Philippines,
141,ILANUN,Philippines,Philippines,
143,OBO MANOBO,Philippines,Philippines,
144,ILIANEN MANOBO,Philippines,Philippines,
145,BUTUANON,Philippines,Philippines,
146,MAMANWA,Philippines,Philippines,
147,BINUKID,Philippines,Philippines,
149,AGUSAN MANOBO,Philippines,Philippines,
154,ATA MANOBO,Philippines,Philippines,
155,DIBABAWON,Philippines,Philippines,
156,TIGWA MANOBO,Philippines,Philippines,
157,SAMAR-LEYTE(L-complex?),Philippines,Philippines,
164,BANTON_Dispohol,Philippines,Philippines,
165,ROMBLON_Dispohol,Philippines,Philippines,
166,IRAYA,Philippines,Philippines,
168,HANUNOO,Philippines,Philippines,
169,Bulalakao,Philippines,Philippines,
170,TADYAWAN,Philippines,Philippines,
171,BUHID,Philippines,Philippines,
172,BATANGAN,Philippines,Philippines,
173,ALANGAN,Philippines,Philippines,
174,HILIGAYNON,Philippines,Philippines,
175,AKLANON,Philippines,Philippines,
176,ROMBLON,Philippines,Philippines,
178,TSOU_SAAROA,Taiwan,Taiwan,
179,TSOU_KANAKANABU,Taiwan,Taiwan,
180,SIRAYA_Makatao,Taiwan,Taiwan,
181,SIRAYA_Lamai,Taiwan,Taiwan,
183,YAMI,Taiwan,Taiwan,
186,TIRURAY,Philippines,Philippines,
187,YAKAN,Philippines,Philippines,
188,SAMA SIBUGUEY,Philippines,Philippines,
190,KINAMIGIN,Philippines,Philippines,
191,SURIGAONON,Philippines,Philippines,
201,RINCONADA BIKOL,Philippines,Philippines,
205,KALAMIANON,Philippines,Philippines,
211,WEST BUKIDNON MANOBO,Philippines,Philippines,
214,WEST BANTON_Looc-Alcantara,Philippines,Philippines,
216,ATTA,Philippines,Philippines,
218,PARANAN,Philippines,Philippines,
219,EAST CAGAYAN NEGRITO,Philippines,Philippines,
220,UMIREY DUMAGAT,Philippines,Philippines,
226,MASBATENO,Philippines,Philippines,
230,ALBAY BIKOL,Philippines,Philippines,
232,BOLINAO,Philippines,Philippines,
233,BABUYAN,Philippines,Philippines,
237,TAUSUG,Philippines,Philippines,
238,SAMA SOUTH,Philippines,Philippines,
239,SAMA CENTRAL,Philippines,Philippines,
242,SAMA WEST,Philippines,Philippines,
244,MOLBOG,Philippines,Philippines,
246,PALAWENO,Philippines,Philippines,
247,ABORLAN-TAGBANWA,Philippines,Philippines,
249,BATAK,Philippines,Philippines,
251,MON,Laos,Laos,
254,MEO,Thailand,Thailand,
255,East Coast Bajau,Laos,Laos,
259,KHMER,Laos,Laos,
261,VIET,Laos,Laos,
263,SO,Laos,Laos,
264,ALAK,Laos,Laos,
265,NGUON,Laos,Laos,
266,SAEK,Laos,Laos,
267,TUM,Laos,Laos,
269,KUY,Laos,Laos,
273,PHU YAI,Laos,Laos,
274,TAMPUAN,Laos,Laos,
277,KUY,Thailand,Thailand,
278,KUY,Kampuchea,Kampuchea,
279,CHAM,Laos,Laos,
282,MNONG,Laos,Laos,
292,PEAR,Laos,Laos,
293,SAMRE,Kampuchea,Kampuchea,
294,CHAM,Kampuchea,Kampuchea,
298,CHONG,Laos,Laos,
299,SOMRAY/CHONG,Laos,Laos,
300,KHMER,Kampuchea,Kampuchea,
306,SUOY,Kampuchea,Kampuchea,
